Date,RELIANCE,TCS,INFY,HDFCBANK,ICICIBANK
2021-12-01,715.6680297851562,705.8832397460938,1539.4757080078125,1122.5147705078125,3173.521240234375
2021-12-02,725.7039794921875,700.7421264648438,1569.414306640625,1129.7266845703125,3231.264892578125
2021-12-03,719.901123046875,694.8250122070312,1558.0133056640625,1095.78271484375,3229.091552734375
2021-12-06,715.2637329101562,688.27734375,1521.8804931640625,1075.0113525390625,3136.799072265625
2021-12-07,725.68017578125,712.6249389648438,1536.5582275390625,1083.7703857421875,3179.46435546875
2021-12-08,739.0455932617188,730.8126831054688,1573.992431640625,1100.2645263671875,3217.0732421875
2021-12-09,726.2271118164062,732.36474609375,1583.05908203125,1117.7142333984375,3194.76513671875
2021-12-10,724.181884765625,735.2747802734375,1579.288818359375,1118.851806640625,3225.854736328125
2021-12-13,718.7596435546875,731.3947143554688,1566.1822509765625,1096.4197998046875,3201.772216796875
2021-12-14,714.62158203125,735.9053344726562,1572.9151611328125,1082.996826171875,3214.322998046875
2021-12-15,713.4562377929688,729.697265625,1556.8011474609375,1079.8345947265625,3166.912841796875
2021-12-16,713.5037841796875,718.9299926757812,1590.37548828125,1093.80322265625,3176.891845703125
2021-12-17,700.6378784179688,706.4652099609375,1634.5875244140625,1064.932861328125,3179.331298828125
2021-12-20,678.0927124023438,688.6653442382812,1614.883056640625,1036.2216796875,3154.982666015625
2021-12-21,685.774169921875,698.7536010742188,1626.2838134765625,1051.646484375,3200.5751953125
2021-12-22,687.391357421875,710.830322265625,1638.0435791015625,1076.6038818359375,3220.488525390625
2021-12-23,686.8681030273438,709.3753051757812,1667.578125,1076.2171630859375,3248.827880859375
2021-12-24,684.3948364257812,705.3012084960938,1672.874755859375,1079.652587890625,3256.10107421875
2021-12-27,690.054931640625,713.9343872070312,1675.25341796875,1078.4921875,3278.453857421875
2021-12-28,694.8112182617188,713.7402954101562,1694.868408203125,1091.3009033203125,3287.72314453125
2021-12-29,691.5055541992188,713.6433715820312,1692.6690673828125,1093.1663818359375,3277.212158203125
2021-12-30,695.1441650390625,713.6433715820312,1699.2222900390625,1073.4189453125,3311.849609375
2021-12-31,703.658203125,717.9600219726562,1694.643798828125,1077.5367431640625,3315.929443359375
2022-01-03,722.8025512695312,741.7739868164062,1704.2493896484375,1093.780517578125,3386.358154296875
2022-01-04,727.0357055664062,749.6795654296875,1704.8778076171875,1118.465087890625,3445.787109375
2022-01-05,744.30126953125,764.4238891601562,1655.9527587890625,1123.6976318359375,3424.67626953125
2022-01-06,732.3628540039062,761.5138549804688,1631.849609375,1099.5364990234375,3377.221435546875
2022-01-07,737.499755859375,769.468017578125,1628.7076416015625,1108.4093017578125,3418.068115234375
2022-01-10,741.5902709960938,786.443359375,1661.428955078125,1109.3193359375,3441.44091796875
2022-01-11,744.8008422851562,786.3463134765625,1665.7828369140625,1117.3048095703125,3473.4169921875
2022-01-12,740.4010620117188,799.0536499023438,1685.397705078125,1147.130859375,3423.74462890625
2022-01-13,726.7741088867188,799.97509765625,1702.7681884765625,1153.592041015625,3457.450927734375
2022-01-14,734.9312744140625,795.4159545898438,1731.988525390625,1155.2755126953125,3519.762939453125
2022-01-17,723.6824340820312,794.7369995117188,1741.1002197265625,1161.3043212890625,3564.999755859375
2022-01-18,727.36865234375,798.4230346679688,1724.268310546875,1147.44921875,3539.6767578125
2022-01-19,722.2317504882812,784.3577270507812,1676.0616455078125,1147.3582763671875,3478.409423828125
2022-01-20,717.7369995117188,785.9583129882812,1637.14599609375,1127.2696533203125,3400.1279296875
2022-01-21,723.7300415039062,780.3807373046875,1603.033203125,1127.4515380859375,3406.30322265625
2022-01-24,707.1065063476562,774.5121459960938,1559.135498046875,1081.9730224609375,3351.07958984375
2022-01-25,707.7723999023438,777.6161499023438,1545.98388671875,1079.857177734375,3349.79052734375
2022-01-27,701.54150390625,770.8260498046875,1506.8887939453125,1063.863525390625,3242.58544921875
2022-01-28,695.9766235351562,757.7307739257812,1513.71142578125,1062.83984375,3278.839111328125
2022-01-31,706.654541015625,765.1513671875,1558.5966796875,1085.9317626953125,3319.890380859375
2022-02-01,712.0294189453125,786.0067749023438,1590.779541015625,1082.337158203125,3377.11376953125
2022-02-02,728.296142578125,789.3533325195312,1604.2900390625,1084.5438232421875,3426.473388671875
2022-02-03,720.7572631835938,784.697265625,1560.7061767578125,1070.529541015625,3398.3955078125
2022-02-04,724.87158203125,780.9142456054688,1562.9954833984375,1060.76953125,3389.775390625
2022-02-07,698.3071899414062,762.8233642578125,1539.5655517578125,1054.3084716796875,3357.876953125
2022-02-08,695.3106079101562,768.740478515625,1541.630126953125,1072.031005859375,3326.28759765625
2022-02-09,712.314697265625,778.731689453125,1559.584228515625,1084.5211181640625,3341.482177734375
